id,name,kodas,bic
l10n_lt.res_bank_1,Achemos kredito unija,50131,LCKULT22XXX
l10n_lt.res_bank_2,Akademinė kredito unija,50109,LCKULT22XXX
l10n_lt.res_bank_3,Alytaus kredito unija,50152,LCKULT22XXX
l10n_lt.res_bank_4,Anykščių kredito unija,50130,LCKULT22XXX
l10n_lt.res_bank_5,Aukštaitijos kredito unija,50121,LCKULT22XXX
l10n_lt.res_bank_6,Biržų kredito unija,50126,LCKULT22XXX
l10n_lt.res_bank_7,Druskininkų kredito unija,50149,LCKULT22XXX
l10n_lt.res_bank_8,Gyventojų ir smulkaus verslo kredito unija,50164,LCKULT22XXX
l10n_lt.res_bank_9,Grigiškių kredito unija,50156,LCKULT22XXX
l10n_lt.res_bank_10,Grinkiškio kredito unija,50142,LCKULT22XXX
l10n_lt.res_bank_11,Ignalinos kredito unija,50144,LCKULT22XXX
l10n_lt.res_bank_12,Joniškio kredito unija,50147,LCKULT22XXX
l10n_lt.res_bank_13,Jurbarko kredito unija,50133,LCKULT22XXX
l10n_lt.res_bank_14,Kaišiadorių kredito unija,50118,LCKULT22XXX
l10n_lt.res_bank_15,Kauno arkivyskupijos kredito unija,50108,LCKULT22XXX
l10n_lt.res_bank_16,Kauno kredito unija,50127,LCKULT22XXX
l10n_lt.res_bank_17,Kėdainių krašto kredito unija,50159,LCKULT22XXX
l10n_lt.res_bank_18,Kelmės kredito unija,50122,LCKULT22XXX
l10n_lt.res_bank_19,Klaipėdos kredito unija,50163,LCKULT22XXX
l10n_lt.res_bank_20,Klausučių kredito unija,50135,LCKULT22XXX
l10n_lt.res_bank_21,"Kredito unija ""Gargždų taupa""",50153,LCKULT22XXX
l10n_lt.res_bank_22,"Kredito unija ""Germanto lobis""",50113,LCKULT22XXX
l10n_lt.res_bank_23,"Kredito unija ""Giminėlė""",50111,LCKULT22XXX
l10n_lt.res_bank_24,"Kredito unija ""Jonavos žemė""",50132,LCKULT22XXX
l10n_lt.res_bank_25,"Kredito unija ""Kupiškėnų taupa""",50114,LCKULT22XXX
l10n_lt.res_bank_26,"Kredito unija ""Mėmelio taupomoji kasa""",50154,LCKULT22XXX
l10n_lt.res_bank_27,"Kredito unija ""Moterų taupa""",50125,LCKULT22XXX
l10n_lt.res_bank_28,"Kredito unija ""Prienų taupa""",50123,LCKULT22XXX
l10n_lt.res_bank_29,Kredito unija Skuodo bankelis,50116,LCKULT22XXX
l10n_lt.res_bank_30,"Kredito unija ""Sūduvos parama""",50101,LCKULT22XXX
l10n_lt.res_bank_31,"Kredito unija ""Šešiagrašis""",50161,LCKULT22XXX
l10n_lt.res_bank_32,"Kredito unija ""Tikroji viltis""",50112,LCKULT22XXX
l10n_lt.res_bank_33,"Kredito unija ""Vievio taupa""",50120,LCKULT22XXX
l10n_lt.res_bank_34,Kredito unija Zanavykų bankelis,50117,LCKULT22XXX
l10n_lt.res_bank_35,"Kredito unija ""Žemdirbio gerovė""",50106,LCKULT22XXX
l10n_lt.res_bank_36,Kretingos kredito unija,50138,LCKULT22XXX
l10n_lt.res_bank_37,Kvėdarnos kredito unija,50137,LCKULT22XXX
l10n_lt.res_bank_38,Lietuvos centrinė kredito unija,50100,LCKULT22XXX
l10n_lt.res_bank_39,Mažeikių kredito unija,50146,LCKULT22XXX
l10n_lt.res_bank_40,Naftininkų kredito unija,50148,LCKULT22XXX
l10n_lt.res_bank_41,Pagėgių kredito unija,50140,LCKULT22XXX
l10n_lt.res_bank_42,Pajūrio kredito unija,50157,LCKULT22XXX
l10n_lt.res_bank_43,Pakruojo ūkininkų kredito unija,50119,LCKULT22XXX
l10n_lt.res_bank_44,Palangos kredito unija,50136,LCKULT22XXX
l10n_lt.res_bank_45,Panevėžio kredito unija,50110,LCKULT22XXX
l10n_lt.res_bank_46,Pareigūnų kredito unija,50162,LCKULT22XXX
l10n_lt.res_bank_47,Pasvalio kredito unija,50124,LCKULT22XXX
l10n_lt.res_bank_48,Plungės kredito unija,50105,LCKULT22XXX
l10n_lt.res_bank_49,Radviliškio kredito unija,50103,LCKULT22XXX
l10n_lt.res_bank_50,Raseinių kredito unija,50139,LCKULT22XXX
l10n_lt.res_bank_51,Rokiškio kredito unija,50141,LCKULT22XXX
l10n_lt.res_bank_52,Sedos kredito unija,50143,LCKULT22XXX
l10n_lt.res_bank_53,Šeimos kredito unija,50165,LCKULT22XXX
l10n_lt.res_bank_54,Šilalės kredito unija,50129,LCKULT22XXX
l10n_lt.res_bank_55,Šilutės kredito unija,50102,LCKULT22XXX
l10n_lt.res_bank_56,Širvintų kredito unija,50115,LCKULT22XXX
l10n_lt.res_bank_57,Tauragės kredito unija,50128,LCKULT22XXX
l10n_lt.res_bank_58,Trakų kredito unija,50151,LCKULT22XXX
l10n_lt.res_bank_59,Ukmergės ūkininkų kredito unija,50134,LCKULT22XXX
l10n_lt.res_bank_60,Utenos kredito unija,50145,LCKULT22XXX
l10n_lt.res_bank_61,Varėnos kredito unija,50158,LCKULT22XXX
l10n_lt.res_bank_62,Vilkaviškio kredito unija,50104,LCKULT22XXX
l10n_lt.res_bank_63,Kredito unija AMBER,51200,KUAMLT21XXX
l10n_lt.res_bank_64,"Kredito unija ""Panevėžio regiono taupomoji kasa""",51400,KUPRLT21XXX
l10n_lt.res_bank_65,"Kredito unija ""Saulėgrąža""",51700,KUSALT21XXX
l10n_lt.res_bank_66,Mano kredito unija,50300,KUSRLT21XXX
l10n_lt.res_bank_67,"Kredito unija ""Vilniaus kreditas""",50600,KUVKLT21XXX
l10n_lt.res_bank_68,"Kredito unija ""Taupa""",50500,LKUTLT21XXX
l10n_lt.res_bank_69,LTL kredito unija,51500,LTLULT21XXX
l10n_lt.res_bank_70,Šiaulių kredito unija,50150,SIKNLT21XXX
l10n_lt.res_bank_71,Kredito unija Centro taupomoji kasa,50400,UCTKLT21XXX
l10n_lt.res_bank_72,"Taupkasė, kredito unija",51600,VEKULT21XXX
l10n_lt.res_bank_73,Vilniaus kredito unija,50800,VIKULT21XXX
l10n_lt.res_bank_74,Vilniaus regiono kredito unija,51900,VRKULT21XXX
l10n_lt.res_bank_75,Vilniaus regiono kredito unija,50160,VRKULT21XXX
l10n_lt.res_bank_76,Mistertango,35100,MIEGLT21XXX
l10n_lt.res_bank_77,Revolut Limited,39200,REVOGB21XXX
l10n_lt.res_bank_78,"Svenska Handelsbanken" AB Lietuvos filialas,21200,HANDLT2X